"start","end","text"
"283350","286290"," So in each of the five intervals I"
"286290","287790"," got, I chose a point. "
"287790","290290"," And I'm going to call these points using"
"290290","291070"," the letter C."
"291710","294490"," So this is going to be C1, C2,"
"295010","298670"," C3, C4, and C5."
"298750","300230"," I hope this isn't too small and you"
"300230","301250"," can actually see it."
"302030","302410"," Good. "
"303930","307510"," Now I'm going to calculate the value of"
"307510","311270"," the function at these orange C's."
"311630","313370"," So F of C1 is going to be"
"313370","313750"," here."
"314190","316230"," F of C2 is this value. "
"316230","318710"," F of C3 is this value."
"319190","321970"," F of C4, C4 was the endpoint, it's"
"321970","322530"," this value."
"322710","324430"," And F of C5 is this. "
"326150","326450"," Good."
"327650","331830"," And now I'm going to take rectangles whose"
"331830","334690"," bases are these parts from the partition."
"335710","338810"," So I have the width and the length"
"338810","341090"," or the height is going to be determined"
"341090","342530"," by this value here. "
"342770","345070"," The value at the orange point."
"345070","347070"," So I'm going to get a rectangle like"
"347070","349590"," this, and a rectangle like this, and a"
"349590","353170"," rectangle like this, and one like this, and"
"354550","356310"," one like this."
"357670","359330"," Is it clear what I just did?"
"362330","363530"," So what did I get?"
"363990","366470"," I got a bunch of rectangles, in this"
"366470","367770"," case five of them. "
"368470","373650"," And the area of these rectangles, the sum"
"373650","378390"," of the areas of these rectangles is, well,"
"378530","381170"," not exactly the area under the blue graph."
"381810","385150"," But it's an approximation of the area under"
"385150","385950"," the blue graph."
"386310","386830"," Do you agree?"
"387450","388770"," Why is it not exactly?"
"388930","391230"," Because there are obvious errors here. "
"391230","395270"," So there's this area here, which I'm going"
"395270","398070"," to count, but it's above the graph."
"398690","401730"," And there's this area here, which I'm not"
"401730","404010"," going to count, but it is under the"
"404010","404350"," graph."
"404910","405510"," Do you see that?"
"406070","407770"," And here there's a wild error. "
"407950","409830"," There's all this area, which I'm going to"
"409830","411690"," count when I add up the areas of"
"411690","412590"," the rectangles."
"413790","416350"," But this area is clearly not under the"
"416350","416750"," graph."
"417470","418370"," This is the graph. "
"419270","420290"," Do you agree?"
"421250","422190"," So there are errors."
"422330","425850"," It's not an accurate approximation."
"426210","427070"," It's an approximation. "
"428390","429570"," Can I make it better?"
"430710","431590"," Can I do better?"
"432230","433330"," How can I do better?"
"433450","436730"," Use more rectangles."
"438390","440490"," Make the partition more delicate."
"441200","441510"," OK. "
"442770","446270"," For example, let's take this rectangle."
"446630","449690"," The fifth one is the one that introduces"
"449690","451130"," the biggest error here."
"451710","453290"," Let's break it in two. "
"453510","455190"," Let's add another point here."
"456070","457650"," Let's call it x5."
"458870","461050"," That will add this line here. "
"463620","464980"," And now let's add another."
"465140","467200"," So this is going to become c6."
"468420","470300"," And I'm going to add a point here. "
"470300","472520"," This is going to be c5."
"473100","475220"," This is the value at c5."
"476040","479100"," So now this rectangle is going to be"
"479100","479780"," this one. "
"480400","482120"," And here I'm going to get this rectangle."
"482940","485520"," And all this error here is gone."
"488340","488520"," OK. "
"488840","489880"," Is it clear what I'm doing?"
"490180","491560"," I'm going to erase it on the drawing."
"491820","493420"," So all of this is now gone."
"498830","499350"," You're gone. "
"499690","500510"," Don't try to stay."
"503120","504500"," Now this is the picture."
"504960","506420"," It's still not accurate. "
"506420","509000"," It's an approximation, but it's way closer."
"509640","510060"," Do you agree?"
"510680","511620"," And I can do better."
"511940","513919"," I can take any rectangle, break it in"
"513919","515320"," two, and the errors are going to get"
"515320","516120"," smaller and smaller. "
"516760","517220"," Do you agree?"
"518940","524890"," So the sums of these rectangles are called"
"524890","528730"," Riemann sums, named after a mathematician named Riemann,"
"529250","532650"," whose role in differential and integral calculus is"
"532650","533370"," very important."
"533370","537690"," So let's write what they are, these sums."
"538810","539730"," So it's a sum. "
"539850","541750"," And I'm going to introduce this sigma notation."
"541870","543410"," Do you know what the sigma notation means?"
"544210","544690"," Sum."
"545110","549510"," So sum i equals 1 to n."
"550090","553230"," n is the number of rectangles I have. "
"554010","555190"," And what are the areas?"
"555530","559010"," It's the length of the i-th interval."
"560050","561670"," So I'm going to call these."
"562430","563850"," I'm going to call the length of the"
"563850","566610"," first interval delta x1. "
"566850","568570"," This is standard notation."
"568770","569750"," That's why I'm using it."
"570190","572190"," And the second interval is going to be"
"572190","574650"," delta x2. "
"575830","576830"," And so on."
"577030","580470"," So delta x1 is just x1 minus a."
"581030","583310"," Delta x2 is x2 minus x1."
"583510","585190"," It's the width of the rectangle. "
"586370","587770"," And what's the height?"
"588490","591370"," F of the orange point."
"592050","594210"," So this sum, the sum of the rectangles,"
"594390","598870"," is f of ci times delta xi."
"599970","602970"," This is called a Riemann degree. "
"610140","612320"," Can everybody see that this sum here is"
"612320","615060"," precisely the sum of the areas of the"
"615060","618280"," rectangles, which is an approximation for the area"
"618280","619280"," under the graph."
"620540","621260"," Good?"
"622760","623280"," Everybody?"
"625480","625740"," OK."
"627380","631640"," And am I ever going to get, so"
"631640","632880"," I'm going to make n bigger. "
"633040","634680"," Now n is 6, right?"
"634720","635760"," I have 6 intervals."
"635860","640020"," I can make n 60, or 100, or"
"640020","642820"," a million, or a trillion, or a Google."
"643840","644860"," You know what a Google is?"
"645140","645940"," Big number. "
"646980","649420"," Is it ever going to be precisely the"
"649420","650840"," area under the graph?"
"653240","654160"," No."
"655240","659180"," But we know something else in this course."
"660480","661940"," We know limits. "
"662800","665320"," And the statement we want to make somehow"
"665320","669700"," formally is that in the limit, in the"
"669700","672460"," limit, and we're going to have to formalize"
"672460","675380"," this, but an informal way of saying it"
"675380","677560"," is take n to infinity."
"679300","682300"," So when n goes to infinity, you're breaking"
"682300","683680"," it into more and more and more and"
"683680","684920"," more and more rectangles."
"685280","688320"," In the limit, this is going to converge"
"688320","693860"," to, let's call it I temporarily, which is,"
"694040","698040"," I stands for integral, which is the area"
"698040","699560"," under the graph. "
"700260","705220"," Area under the graph."
"710750","714430"," And this limit thing is not precise."
"714890","718270"," And I'll explain why and how to make"
"718270","719610"," it precise in a minute. "
"719930","721690"," But for example, you can see that it's"
"721690","725170"," not precise by saying the following."
"725310","726650"," So what does it mean taking n to"
"726650","727470"," infinity?"
"727610","730730"," It means breaking the interval, making the partition"
"730730","732810"," more and more delicate."
"734430","736430"," Breaking the rectangles again and again and again"
"736430","736730"," and again. "
"737510","739470"," But suppose I just stick to this one"
"739470","742170"," and take one half of it every time."
"742170","745710"," I'm not going to get any, I'm never"
"745710","747390"," going to take care of these errors."
"748130","751310"," So just by taking more and more rectangles,"
"751450","752170"," that's not enough. "
"752270","753450"," I have to make sure I do it"
"753450","754550"," all over the interval."
"755410","757750"," So just this statement is insufficient."
"758290","758710"," Do you agree?"
"759570","761070"," But this is the idea. "
"761510","763090"," This is the idea of what we're going"
"763090","764330"," to formally define it."
"764730","767630"," So the area under the graph, which I"
"767630","770610"," denoted by I temporarily, it's going to be"
"770610","771710"," denoted by a snake."
"771710","772590"," You know that. "
"774090","776710"," It's going to be, in some more precise"
"776710","781810"," sense, the limit of Riemann sums, which are"
"781810","785290"," sums of areas of rectangles obtained by taking"
"785290","788370"," a partition of the interval and choosing points"
"788370","790490"," where to evaluate the function."
"791250","791610"," Clear?"
"792410","793950"," So this is kind of the introduction."
"794170","795210"," This is what we want to do. "
"795910","796770"," Everybody with me?"
"797370","797830"," Questions?"
"799630","800250"," OK."
"800410","803590"," So let's start making all of this formal."
"804650","808870"," So everything I'm going to do, keep peeking"
"808870","812130"," at this drawing and making sure that everything"
"812130","814530"," corresponds to your intuition from this drawing. "
"815670","817170"," That's what it should be."
"817710","819350"," So definition."
"825550","830610"," A equals x0 less than x1, less than"
"830610","833710"," x2, less than dot, dot, dot, less than"
"833710","841310"," xn, which is b, is called a partition"
"843130","851020"," of the interval a, b."
"852800","853200"," Clear?"
"853980","857060"," It's a choice of points where you force"
"857060","860000"," x0 to be the a and xn to"
"860000","860340"," be b."
"860500","863380"," And then you choose all these intermediate points"
"863380","864400"," in ascending order. "
"864560","865300"," That's a partition."
"866360","866700"," Clear?"
"867180","868860"," That's exactly what we did in the drawing."
"871020","877300"," A partition of a, b denoted by p."
"877640","879300"," That's the letter we're going to use, p"
"879300","879980"," for partition. "
"885060","894960"," Delta xi will denote xi minus xi minus"
"894960","896220"," 1 in the index."
"896980","900020"," So the i-th point minus the i"
"900020","903320"," minus 1-th point, that's the length of"
"903320","904440"," the i-th interval."
"906390","906610"," Clear?"
"908510","909990"," No, i minus 1 here. "
"910550","913410"," It's delta x5, the length of the fifth"
"913410","916450"," interval in the partition, is x5 minus x4."
"917610","920090"," The first one is x1 minus x0, and"
"920090","920990"," x0 was a."
"921790","922030"," Clear?"
"924150","924450"," OK."
"927520","929480"," So another definition. "
"934710","938910"," Lambda of p is going to denote, this"
"938910","940930"," is the Greek letter lambda."
"943250","946490"," If you know Hebrew, don't confuse it with"
"946490","947410"," Hebrew letters."
"947410","951150"," Greek letter lambda is going to be the"
"951150","955630"," maximal between the delta xi's. "
"963780","966620"," The widest of the rectangles."
"968140","968240"," OK?"
"968480","971040"," The biggest interval in the partition."
"971920","972160"," Clear?"
"973440","976100"," That we're going to denote by lambda of"
"976100","976360"," p."
"980830","981150"," OK. "
"981550","985490"," And here's the next definition."
"985490","987810"," I'm just formalizing everything we said."
"988750","993210"," Let p be a partition"
"993210","1001090"," of AB. "
"1005680","1015260"," And let f from AB to R be"
"1017600","1018100"," bounded."
"1018380","1023339"," That's the only condition that I'm going to"
"1023339","1028160"," strictly enforce throughout the discussion of definite integrals."
"1028280","1029619"," The function has to be bounded. "
"1030440","1030540"," OK?"
"1030720","1032440"," Everything is going to fit in nicely with"
"1032440","1035000"," the intuition whenever it's continuous and positive."
"1035460","1038099"," But the definitions don't require that."
"1038220","1039920"," But they do require it to be bounded. "
"1043740","1052090"," Choose points ci"
"1052090","1057270"," each point in the interval xi minus 1"
"1057270","1057670"," xi."
"1057670","1059890"," So those are those orange points."
"1063860","1069660"," Then sigma i equals 1 to n."
"1070000","1080260"," f at ci delta xi is called the"
"1080260","1089520"," Riemann sum corresponding to"
"1092680","1098880"," f, p, and the ci's. "
"1098880","1102890"," So it depends on the function."
"1103490","1105230"," It depends on the partition."
"1105770","1107350"," And it depends on the choice of the"
"1107350","1107990"," ci's. "
"1110190","1110290"," OK?"
"1110710","1114230"," Change any one of those pieces of data,"
"1114570","1116250"," you get a different Riemann sum."
"1121440","1121720"," Good?"
"1126570","1129370"," That's for the next definition, which is where"
"1129370","1130510"," we're going to stop today."
"1130910","1132310"," So I want to define. "
"1133330","1135450"," And we'll pick up from here next time."
"1135450","1142960"," So remember, f from AB to R is"
"1142960","1143360"," bounded."
"1149890","1158910"," We say that f is Riemann"
"1161570","1173540"," integrable on AB"
"1177280","1181860"," if, and what I want to write here"
"1181860","1186560"," is somehow formalizing the statement, the limit of"
"1186560","1190040"," the Riemann sums approaches some value, which we"
"1190040","1190720"," called i."
"1191300","1192400"," So let's write that. "
"1192520","1197920"," If there exists an i, i is going"
"1197920","1200020"," to be the candidate for the integral."
"1201240","1201340"," OK?"
"1203760","1206620"," Such that, and now this is going to"
"1206620","1211620"," look terrifying, wicked."
"1213740","1217560"," It's going to somehow hide the definition of"
"1217560","1219180"," the limit, but it's going to be much"
"1219180","1220040"," more complicated. "
"1220380","1223120"," There are going to be many more quantifiers"
"1223120","1224800"," for every n exists."
"1225460","1225560"," OK?"
"1225780","1227680"," Because we somehow have to take care not"
"1227680","1230600"," just of n going to infinity, but somehow"
"1230600","1233220"," saying that we do it simultaneously on all"
"1233220","1234460"," the little subintervals."
"1235060","1236800"," And that's why it's going to look scary. "
"1237420","1238920"," But don't be concerned about that."
"1239000","1241100"," We're not going to work directly with this"
"1241100","1241640"," definition."
"1242440","1244820"," I still want to write it precisely once. "
"1245620","1245720"," OK?"
"1245980","1247880"," We're going to work with the idea of"
"1247880","1251720"," the Riemann sums approaching the integral."
"1252320","1254780"," So if there exists an i such that"
"1254780","1261900"," for every epsilon, there exists a delta."
"1262500","1264300"," So far this should look familiar. "
"1265280","1274040"," Such that for any p, for any partition"
"1274040","1283320"," with lambda of p less than delta, meaning"
"1283320","1286920"," if you take a partition where the fattest"
"1286920","1296230"," rectangle is at most delta, then the Riemann"
"1296230","1301710"," sum corresponding to that partition, f of ci"
"1301710","1309650"," delta xi, minus the limit, the integral, is"
"1309650","1311430"," less than epsilon."
"1311430","1318210"," And this should happen for any c1, c2,"
"1318350","1319730"," dot, dot, dot, cn."
"1319790","1323150"," For any choice of these ci's. "
"1325010","1327770"," This definition is a mouthful."
"1328110","1331270"," It's maybe the mouthful-est definition of this"
"1331270","1331610"," course."
"1332890","1334550"," We're going to stop now. "
"1334710","1336470"," Next time I'm going to write this definition"
"1336470","1338890"," again on the board, draw the drawing again,"
"1338890","1342370"," and decipher it for you."
"1342610","1345070"," But it's a good idea to look at"
"1345070","1347150"," it again on your own before next time."
"1347270","1347930"," Come prepared. "
"1348390","1350930"," It's a good practice of being able to"
"1350930","1352270"," absorb things like this."
"1352510","1354410"," So we're going to continue from this definition"
"1354410","1361230"," and then write more theorems next time and"
"1361230","1365330"," see how we actually calculate integrals using Riemann"
"1365330","1365670"," sums."
"1365670","1368930"," And then how we calculate integrals in more"
"1368930","1370050"," sophisticated ways. "
"1370530","1374030"," And ultimately, the fundamental theorem of calculus, which"
"1374030","1376710"," tells us how these relate to antiderivatives. "
