"start","end","text"
"443860","447440"," האינפו, שבה בקוביית המידע של האינפו, הלכתי ושיניתי"
"447440","449020"," הצבעות למערך."
"449520","454140"," כמובן שאם אני עכשיו עזיז את האבן הזו"
"454140","456300"," בתוך המערך הרבה פעמים, יהיה פה כל מיני"
"456300","459200"," שינויים במבנה חיצוני שמטבל באינפו. "
"460080","464680"," אם אני רוצה לחסוך את העבודה הזאת במבנה"
"464680","466420"," חיצוני, אם אני רוצה לשאיר את העבודה הזאת"
"466420","469360"," רק במבנה הפנימי של התור, אני עושה את"
"469360","474680"," הדבר הבא, אני בעצם מעביר את האינפו למקום"
"474680","481720"," נפרד, עם הצבעה לתוך האבן הזו, ועכשיו כשיש"
"481720","489900"," שינויים בתוך המערך, כשהמפתח 29 יזוז בתוך המערך,"
"491120","495860"," יש שינויים רק באבן הדומינו הזאת, והאינפו לא"
"495860","498360"," ישתנה כי הפוינטר שלו יהיה כל הזמן בתוך"
"498360","499660"," האבן הזו."
"500420","503240"," ולכן זה מאפשר לי, המימוש השלישי מאפשר לי"
"503240","510440"," במקרה של דיקריסקי, לנתק את האינפו מהשינויים הפנימיים"
"510440","511440"," בתוך התור."
"513780","517440"," ואז סיימנו את הצגה של המימוש, וביחידות הבאות"
"517440","520260"," נראה איך לבצע את כל הפעולות. "
